fen	score_cp	wdl	decisive	mode	score_source
r2m3r/2snnsk1/1ppppppp/8/p3P2P/PPPP1PP1/1KSNNS2/R3M2R w - - 1 9	1	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppppp/7P/p3P3/PPPP1PP1/1KSNNS2/R3M2R b - - 0 9	1	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppppp/7P/4P3/PmPP1PP1/1KSNNS2/R3M2R w - - 0 10	0	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppppp/7P/4P3/PNPP1PP1/1KS1NS2/R3M2R b - - 0 10	0	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppp1p/6pP/4P3/PNPP1PP1/1KS1NS2/R3M2R w - - 0 11	-1	0.5	0	normal	engine_search
r2m3r/2snnsk1/1ppppp1p/6pP/4P3/PNPP1PP1/1KS1NS2/1R2M2R b - - 1 11	-3	0.5	0	normal	engine_search
r2m3r/2snnsk1/1pp1pp1p/3p2pP/4P3/PNPP1PP1/1KS1NS2/1R2M2R w - - 0 12	-6	0.5	0	normal	engine_search
r2m3r/2snnsk1/1pp1pp1p/3p2pP/4PP2/PNPP2P1/1KS1NS2/1R2M2R b - - 0 12	-5	0.5	0	normal	engine_search
r2m3r/3nnsk1/1ppspp1p/3p2pP/4PP2/PNPP2P1/1KS1NS2/1R2M2R w - - 1 13	-4	0.5	0	normal	engine_search
r2m3r/3nnsk1/1ppspp1p/3p2pP/4PP2/PNPPS1P1/1KS1N3/1R2M2R b - - 2 13	-7	0.5	0	normal	engine_search
r6r/2mnnsk1/1ppspp1p/3p2pP/4PP2/PNPPS1P1/1KS1N3/1R2M2R w - - 3 14	-7	0.5	0	normal	engine_search
r6r/2mnnsk1/1ppspp1p/3p2pP/4PP2/PNPPS1P1/1KS1NM2/1R5R b - - 4 14	-6	0.5	0	normal	engine_search
7r/2mnnsk1/1ppspp1p/3p2pP/r3PP2/PNPPS1P1/1KS1NM2/1R5R w - - 5 15	-5	0.5	0	normal	engine_search
7r/2mnnsk1/1ppspp1p/3p2pP/r3PP2/PNPPS1P1/1KS1NM2/R6R b - - 6 15	-4	0.5	0	normal	engine_search
7r/2mnnsk1/1p1spp1p/2pp2pP/r3PP2/PNPPS1P1/1KS1NM2/R6R w - - 0 16	-4	0.5	0	normal	engine_search
7r/2mnnsk1/1p1spp1p/2pp2pP/r3PP2/P1PPS1P1/1KSNNM2/R6R b - - 1 16	-5	0.5	0	normal	engine_search
7r/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPS1P1/1KSNNM2/R6R w - - 2 17	-6	0.5	0	normal	engine_search
7r/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPS1P1/1KSNNM2/R3R3 b - - 3 17	-6	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPS1P1/1KSNNM2/R3R3 w - - 4 18	-7	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2pp2pP/4PP2/P1PPSNP1/1KS1NM2/R3R3 b - - 5 18	-6	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2p3pP/4pP2/P1PPSNP1/1KS1NM2/R3R3 w - - 0 19	-9	0.5	0	normal	engine_search
3r4/r1mnnsk1/1p1spp1p/2p3pP/4PP2/P1P1SNP1/1KS1NM2/R3R3 b - - 0 19	-9	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp3pP/4PP2/P1P1SNP1/1KS1NM2/R3R3 w - - 0 20	-8	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp3pP/4PP2/P1P1SNP1/1KS1NM2/3RR3 b - - 1 20	-10	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp4P/4PPp1/P1P1SNP1/1KS1NM2/3RR3 w - - 0 21	-10	0.5	0	normal	engine_search
3r4/r1mnnsk1/3spp1p/1pp4P/4PPp1/P1P1S1P1/1KSNNM2/3RR3 b - - 1 21	-7	0.5	0	normal	engine_search
3r2k1/r1mnns2/3spp1p/1pp4P/4PPp1/P1P1S1P1/1KSNNM2/3RR3 w - - 2 22	-10	0.5	0	normal	engine_search
3r2k1/r1mnns2/3spp1p/1pp4P/4PPp1/PSP1S1P1/1K1NNM2/3RR3 b - - 3 22	-12	0.5	0	normal	engine_search
1r4k1/r1mnns2/3spp1p/1pp4P/4PPp1/PSP1S1P1/1K1NNM2/3RR3 w - - 4 23	-12	0.5	0	normal	engine_search
1r4k1/r1mnns2/3spp1p/1pp4P/4PPp1/PSP1S1P1/1K1NNM2/3R3R b - - 5 23	-10	0.5	0	normal	engine_search
1r4k1/r1mnns2/3sp2p/1pp2p1P/4PPp1/PSP1S1P1/1K1NNM2/3R3R w - - 0 24	-12	0.5	0	normal	engine_search
1r4k1/r1mnns2/3sp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 b - - 1 24	-12	0.5	0	normal	engine_search
1r4k1/r1mn1s2/2nsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 w - - 2 25	-15	0.5	0	normal	engine_search
1r4k1/r1mn1s2/2nsp2p/1pp2p1P/4PPp1/PSP1S1P1/1K1NNM1R/3R4 b - - 3 25	-16	0.5	0	normal	engine_search
1r5k/r1mn1s2/2nsp2p/1pp2p1P/4PPp1/PSP1S1P1/1K1NNM1R/3R4 w - - 4 26	-19	0.5	0	normal	engine_search
1r5k/r1mn1s2/2nsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 b - - 5 26	-17	0.5	0	normal	engine_search
1r5k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 w - - 6 27	-15	0.5	0	normal	engine_search
1r5k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/4R3 b - - 7 27	-14	0.5	0	normal	engine_search
r6k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/4R3 w - - 8 28	-15	0.5	0	normal	engine_search
r6k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/R7 b - - 9 28	-12	0.5	0	normal	engine_search
3r3k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/R7 w - - 10 29	-16	0.5	0	normal	engine_search
3r3k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 b - - 11 29	-13	0.5	0	normal	engine_search
r6k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 w - - 12 30	-12	0.5	0	normal	engine_search
r6k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/R7 b - - 13 30	-14	0.5	0	normal	engine_search
3r3k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/R7 w - - 14 31	-16	0.5	0	normal	engine_search
3r3k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 b - - 15 31	-12	0.5	0	normal	engine_search
6rk/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/3R4 w - - 16 32	-14	0.5	0	normal	engine_search
6rk/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/1R6 b - - 17 32	-12	0.5	0	normal	engine_search
1r5k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/1R6 w - - 18 33	-13	0.5	0	normal	engine_search
1r5k/r1m2s2/1nnsp2p/1pp2p1P/4PPpR/PSP1S1P1/1K1NNM2/4R3 b - - 19 33	-14	0.5	0	normal	engine_search
1r5k/2m2s2/1nnsp2p/rpp2p1P/4PPpR/PSP1S1P1/1K1NNM2/4R3 w - - 20 34	-15	0.5	0	normal	engine_search
1r5k/2m2s2/1nnsp2p/rpp2p1P/4PPp1/PSP1S1P1/1K1NNM2/4R2R b - - 21 34	-16	0.5	0	normal	engine_search
1r5k/2m2s2/1nnsp2p/rpp4P/4pPp1/PSP1S1P1/1K1NNM2/4R2R w - - 0 35	-12	0.5	0	normal	engine_search
1r5k/2m2s2/1nnsp2p/rpp4P/4NPp1/PSP1S1P1/1K2NM2/4R2R b - - 0 35	-14	0.5	0	normal	engine_search
1r5k/2m2s2/2nsp2p/rppn3P/4NPp1/PSP1S1P1/1K2NM2/4R2R w - - 1 36	-18	0.5	0	normal	engine_search
1r5k/2m2s2/2nsp2p/rppn3P/4NPp1/PSP1S1P1/1K2NM2/3R3R b - - 2 36	-13	0.5	0	normal	engine_search
r6k/2m2s2/2nsp2p/rppn3P/4NPp1/PSP1S1P1/1K2NM2/3R3R w - - 3 37	-24	0.5	0	normal	engine_search
r6k/2m2s2/2nsp2p/rppn3P/4NPp1/PSP1S1P1/1K2NM2/R6R b - - 4 37	-24	0.5	0	normal	engine_search
r6k/2m5/2nsps1p/rppn3P/4NPp1/PSP1S1P1/1K2NM2/R6R w - - 5 38	-26	0.5	0	normal	engine_search
r6k/2m5/2nsps1p/rppn3P/5Pp1/PSP1S1P1/1K1NNM2/R6R b - - 6 38	-24	0.5	0	normal	engine_search
r6k/2m5/1nnsps1p/rpp4P/5Pp1/PSP1S1P1/1K1NNM2/R6R w - - 7 39	-33	0.5	0	normal	engine_search
r6k/2m5/1nnsps1p/rpp4P/2P2Pp1/PS2S1P1/1K1NNM2/R6R b - - 0 39	-29	0.5	0	normal	engine_search
r6k/2m5/1nnsps1p/r1p4P/2p2Pp1/PS2S1P1/1K1NNM2/R6R w - - 0 40	-28	0.5	0	normal	engine_search
r6k/2m5/1nnsps1p/r1p4P/2N2Pp1/PS2S1P1/1K2NM2/R6R b - - 0 40	-23	0.5	0	normal	engine_search
r6k/2m5/2nsps1p/r1p4P/2n2Pp1/PS2S1P1/1K2NM2/R6R w - - 0 41	-20	0.5	0	normal	engine_search
r6k/2m5/2nsps1p/r1p4P/2S2Pp1/P3S1P1/1K2NM2/R6R b - - 0 41	-20	0.5	0	normal	engine_search
r6k/2m5/2n1ps1p/r1ps3P/2S2Pp1/P3S1P1/1K2NM2/R6R w - - 1 42	-22	0.5	0	normal	engine_search
r6k/2m5/2n1ps1p/r1ps3P/5Pp1/PS2S1P1/1K2NM2/R6R b - - 2 42	-20	0.5	0	normal	engine_search
r6k/8/2nmps1p/r1ps3P/5Pp1/PS2S1P1/1K2NM2/R6R w - - 3 43	-21	0.5	0	normal	engine_search
r6k/8/2nmps1p/r1ps3P/5Pp1/PS2S1P1/1K2NM2/R2R4 b - - 4 43	-21	0.5	0	normal	engine_search
1r5k/8/2nmps1p/r1ps3P/5Pp1/PS2S1P1/1K2NM2/R2R4 w - - 5 44	-19	0.5	0	normal	engine_search
1r5k/8/2nmps1p/r1ps3P/5Pp1/PS2S1P1/2K1NM2/R2R4 b - - 6 44	-20	0.5	0	normal	engine_search
rr5k/8/2nmps1p/2ps3P/5Pp1/PS2S1P1/2K1NM2/R2R4 w - - 7 45	-24	0.5	0	normal	engine_search
rr5k/8/2nmps1p/2ps3P/5Pp1/PSN1S1P1/2K2M2/R2R4 b - - 8 45	-22	0.5	0	normal	engine_search
rr5k/4n3/3mps1p/2ps3P/5Pp1/PSN1S1P1/2K2M2/R2R4 w - - 9 46	-21	0.5	0	normal	engine_search
rr5k/4n3/3mps1p/2ps3P/4SPp1/PSN3P1/2K2M2/R2R4 b - - 10 46	-11	0.5	0	normal	engine_search
rr5k/8/2nmps1p/2ps3P/4SPp1/PSN3P1/2K2M2/R2R4 w - - 11 47	-16	0.5	0	normal	engine_search
rr5k/8/2nmps1p/2ps3P/5Pp1/PSNS2P1/2K2M2/R2R4 b - - 12 47	-17	0.5	0	normal	engine_search
r6k/1r6/2nmps1p/2ps3P/5Pp1/PSNS2P1/2K2M2/R2R4 w - - 13 48	-11	0.5	0	normal	engine_search
r6k/1r6/2nmps1p/2ps3P/2S2Pp1/P1NS2P1/2K2M2/R2R4 b - - 14 48	-10	0.5	0	normal	engine_search
r6k/1r6/2nmps1p/2p4P/2s2Pp1/P1NS2P1/2K2M2/R2R4 w - - 0 49	-13	0.5	0	normal	engine_search
r6k/1r6/2nmps1p/2p4P/2S2Pp1/P1N3P1/2K2M2/R2R4 b - - 0 49	-10	0.5	0	normal	engine_search
r6k/1r6/3mps1p/2p4P/2Sn1Pp1/P1N3P1/2K2M2/R2R4 w - - 1 50	-15	0.5	0	normal	engine_search
r6k/1r6/3mps1p/2p4P/2Sn1Pp1/P1N3P1/5M2/R1KR4 b - - 2 50	-12	0.5	0	normal	engine_search
r6k/1r2s3/3mp2p/2p4P/2Sn1Pp1/P1N3P1/5M2/R1KR4 w - - 3 51	-14	0.5	0	normal	engine_search
r6k/1r2s3/3mp2p/2p4P/2Sn1Pp1/P1N3P1/R4M2/2KR4 b - - 4 51	-10	0.5	0	normal	engine_search
r6k/1r2s3/3mp2p/2p2n1P/2S2Pp1/P1N3P1/R4M2/2KR4 w - - 5 52	-10	0.5	0	normal	engine_search
r6k/1r2s3/3mp2p/2p2n1P/2S2Pp1/P1N3P1/R2R1M2/2K5 b - - 6 52	-10	0.5	0	normal	engine_search
r6k/1r2s1n1/3mp2p/2p4P/2S2Pp1/P1N3P1/R2R1M2/2K5 w - - 7 53	-10	0.5	0	normal	engine_search
r6k/1r2s1n1/3mp2p/2p4P/2S2Pp1/P1N3P1/R4M2/2KR4 b - - 8 53	-11	0.5	0	normal	engine_search
r6k/1r2s3/3mp2p/2p2n1P/2S2Pp1/P1N3P1/R4M2/2KR4 w - - 9 54	-13	0.5	0	normal	engine_search
r6k/1r2s3/3mp2p/2p2n1P/2S2Pp1/P1N3P1/R2R1M2/2K5 b - - 10 54	-9	0.5	0	normal	engine_search
r6k/1r2s1n1/3mp2p/2p4P/2S2Pp1/P1N3P1/R2R1M2/2K5 w - - 11 55	-8	0.5	0	normal	engine_search
r6k/1r2s1n1/3mp2p/2p4P/2S2Pp1/P1N3P1/R4M2/2KR4 b - - 12 55	-16	0.5	0	normal	engine_search
r7/1r2s1nk/3mp2p/2p4P/2S2Pp1/P1N3P1/R4M2/2KR4 w - - 13 56	-9	0.5	0	normal	engine_search
r7/1r2s1nk/3mp2p/2p4P/2S2Pp1/P1N3P1/R4M2/2K4R b - - 14 56	-9	0.5	0	normal	engine_search
r7/1r2s2k/3mp2p/2p2n1P/2S2Pp1/P1N3P1/R4M2/2K4R w - - 15 57	-9	0.5	0	normal	engine_search
r7/1r2s2k/3mp2p/2p2n1P/2S2Pp1/P1N3P1/R4M2/2K1R3 b - - 16 57	-6	0.5	0	normal	engine_search
r7/1r2s2k/3mp2p/2p4P/2Sn1Pp1/P1N3P1/R4M2/2K1R3 w - - 17 58	-9	0.5	0	normal	engine_search
r7/1r2s2k/3mp2p/2p4P/2Sn1Pp1/P1N1M1P1/R7/2K1R3 b - - 18 58	-7	0.5	0	normal	engine_search
r7/1r2s2k/3mp2p/2p2n1P/2S2Pp1/P1N1M1P1/R7/2K1R3 w - - 19 59	-11	0.5	0	normal	engine_search
r7/1r2s2k/3mp2p/2p2n1P/2S2Pp1/P1N3P1/R4M2/2K1R3 b - - 20 59	-12	0.5	0	normal	engine_search
8/1r2s2k/3mp2p/r1p2n1P/2S2Pp1/P1N3P1/R4M2/2K1R3 w - - 21 60	-12	0.5	0	normal	engine_search
8/1r2s2k/3mp2p/r1p2n1P/2S2Pp1/P1N3P1/R4M2/2KR4 b - - 22 60	-16	0.5	0	normal	engine_search
1r6/4s2k/3mp2p/r1p2n1P/2S2Pp1/P1N3P1/R4M2/2KR4 w - - 23 61	-15	0.5	0	normal	engine_search
1r6/4s2k/3mp2p/r1p2n1P/P1S2Pp1/2N3P1/R4M2/2KR4 b - - 0 61	-10	0.5	0	normal	engine_search
8/4s2k/3mp2p/r1p2n1P/PrS2Pp1/2N3P1/R4M2/2KR4 w - - 1 62	-10	0.5	0	normal	engine_search
8/4s2k/3mp2p/rSp2n1P/Pr3Pp1/2N3P1/R4M2/2KR4 b - - 2 62	-7	0.5	0	normal	engine_search
8/4s2k/3mp2p/rSp2n1P/P2r1Pp1/2N3P1/R4M2/2KR4 w - - 3 63	-6	0.5	0	normal	engine_search
8/4s2k/3mp2p/rSp2n1P/P2r1Pp1/2N3P1/3R1M2/2KR4 b - - 4 63	-7	0.5	0	normal	engine_search
8/4s2k/3mp2p/rSp2n1P/Pr3Pp1/2N3P1/3R1M2/2KR4 w - - 5 64	-7	0.5	0	normal	engine_search
8/4s2k/3mp2p/rSp2n1P/Pr3Pp1/2N3P1/3R1M2/2K1R3 b - - 6 64	-6	0.5	0	normal	engine_search
8/r3s2k/3mp2p/1Sp2n1P/Pr3Pp1/2N3P1/3R1M2/2K1R3 w - - 7 65	-4	0.5	0	normal	engine_search
8/r3s2k/3mp2p/1Sp2n1P/Pr3Pp1/6P1/3R1M2/2KNR3 b - - 8 65	-13	0.5	0	normal	engine_search
8/r3s2k/3mp2p/1S3n1P/Prp2Pp1/6P1/3R1M2/2KNR3 w - - 0 66	-7	0.5	0	normal	engine_search
8/r3s2k/3mp2p/1S3n1P/Prp2Pp1/2N3P1/3R1M2/2K1R3 b - - 1 66	-8	0.5	0	normal	engine_search
8/2r1s2k/3mp2p/1S3n1P/Prp2Pp1/2N3P1/3R1M2/2K1R3 w - - 2 67	-10	0.5	0	normal	engine_search
8/2r1s2k/3mp2p/1S3n1P/Prp2Pp1/2N3P1/2KR1M2/4R3 b - - 3 67	-12	0.5	0	normal	engine_search
8/2r1s2k/4p2p/1Sm2n1P/Prp2Pp1/2N3P1/2KR1M2/4R3 w - - 4 68	-4	0.5	0	normal	engine_search
8/2r1s2k/4p2p/1Sm2n1P/Prp2Pp1/2N3P1/2KR1M2/3R4 b - - 5 68	-21	0.5	0	normal	engine_search
8/r3s2k/4p2p/1Sm2n1P/Prp2Pp1/2N3P1/2KR1M2/3R4 w - - 6 69	-26	0.5	0	normal	engine_search
8/r2Rs2k/4p2p/1Sm2n1P/Prp2Pp1/2N3P1/2K2M2/3R4 b - - 7 69	-8	0.5	0	normal	engine_search
8/3rs2k/4p2p/1Sm2n1P/Prp2Pp1/2N3P1/2K2M2/3R4 w - - 0 70	-7	0.5	0	normal	engine_search
8/3Rs2k/4p2p/1Sm2n1P/Prp2Pp1/2N3P1/2K2M2/8 b - - 0 70	-19	0.5	0	normal	engine_search
8/3Rs2k/4p2p/1S3n1P/Prpm1Pp1/2N3P1/2K2M2/8 w - - 1 71	-37	0.5	0	normal	engine_search
8/3Rs2k/4p2p/1S3n1P/Prpm1Pp1/6P1/N1K2M2/8 b - - 2 71	-40	0.5	0	normal	engine_search
8/3Rs2k/4p2p/1S3n1P/P1pm1Pp1/1r4P1/N1K2M2/8 w - - 3 72	-43	0.5	0	normal	engine_search
8/3Rs2k/4p2p/5n1P/P1Sm1Pp1/1r4P1/N1K2M2/8 b - - 0 72	-49	0.5	0	normal	engine_search
8/3Rs2k/4p2p/5n1P/P1Sm1Pp1/5rP1/N1K2M2/8 w - - 1 73	-70	0.5	0	normal	engine_search
8/3Rs2k/4p2p/5n1P/P1Sm1Pp1/5rP1/N1K5/4M3 b - - 2 73	-67	0.5	0	normal	engine_search
8/3Rs2k/4p2p/5n1P/P1Sm1Pp1/6r1/N1K5/4M3 w - - 0 74	-77	0.5	0	normal	engine_search
8/3Rs2k/4p2p/5n1P/P2m1Pp1/3S2r1/N1K5/4M3 b - - 1 74	-72	0.5	0	normal	engine_search
8/3Rs2k/4p2p/2m2n1P/P4Pp1/3S2r1/N1K5/4M3 w - - 2 75	-75	0.5	0	normal	engine_search
8/3Rs2k/4p2p/2m2n1P/P3SPp1/6r1/N1K5/4M3 b - - 3 75	-79	0.5	0	normal	engine_search
8/3Rs2k/4p2p/2m4P/P2nSPp1/6r1/N1K5/4M3 w - - 4 76	-69	0.5	0	normal	engine_search
8/3Rs2k/4p2p/2m4P/P2nSPp1/6r1/N7/1K2M3 b - - 5 76	-76	0.5	0	normal	engine_search
8/3Rs2k/4p2p/2m4P/P2nSPp1/1r6/N7/1K2M3 w - - 6 77	-80	0.5	0	normal	engine_search
8/3Rs2k/4p2p/2m4P/P2nSPp1/1r6/N7/2K1M3 b - - 7 77	-76	0.5	0	normal	engine_search
8/3Rs2k/2n1p2p/2m4P/P3SPp1/1r6/N7/2K1M3 w - - 8 78	-78	0.5	0	normal	engine_search
8/3Rs2k/2n1p2p/2m1S2P/P4Pp1/1r6/N7/2K1M3 b - - 9 78	-81	0.5	0	normal	engine_search
6k1/3Rs3/2n1p2p/2m1S2P/P4Pp1/1r6/N7/2K1M3 w - - 10 79	-87	0.5	0	normal	engine_search
6k1/3Rs3/2n1p2p/2m1S2P/P4Pp1/1r6/N1K5/4M3 b - - 11 79	-80	0.5	0	normal	engine_search
6k1/3Rs3/1rn1p2p/2m1S2P/P4Pp1/8/N1K5/4M3 w - - 12 80	-83	0.5	0	normal	engine_search
6k1/3Rs3/1rn1p2p/2m1S2P/P4Pp1/8/N1K2M2/8 b - - 13 80	-82	0.5	0	normal	engine_search
6k1/3Rs3/r1n1p2p/2m1S2P/P4Pp1/8/N1K2M2/8 w - - 14 81	-84	0.5	0	normal	engine_search
6k1/3Rs3/r1n1p2p/2m1S2P/P4Pp1/8/N4M2/3K4 b - - 15 81	-84	0.5	0	normal	engine_search
6k1/3Rs3/2n1p2p/2m1S2P/r4Pp1/8/N4M2/3K4 w - - 0 82	-79	0.5	0	normal	engine_search
6k1/3Rs3/2n1p2p/2m1S2P/r4Pp1/2N5/5M2/3K4 b - - 1 82	-82	0.5	0	normal	engine_search
6k1/3Rs3/4p2p/2m1n2P/r4Pp1/2N5/5M2/3K4 w - - 0 83	-79	0.5	0	normal	engine_search
6k1/4R3/4p2p/2m1n2P/r4Pp1/2N5/5M2/3K4 b - - 0 83	-80	0.5	0	normal	engine_search
6k1/4R3/4p2p/2m1n2P/5rp1/2N5/5M2/3K4 w - - 0 84	-83	0.5	0	normal	engine_search
6k1/8/4R2p/2m1n2P/5rp1/2N5/5M2/3K4 b - - 0 84	-83	0.5	0	normal	engine_search
6k1/8/4R2p/2m1nr1P/6p1/2N5/5M2/3K4 w - - 1 85	-77	0.5	0	normal	engine_search
6k1/8/4R2p/2m1nr1P/4N1p1/8/5M2/3K4 b - - 2 85	-77	0.5	0	normal	engine_search
6k1/8/4R2p/2m2r1P/4N1p1/3n4/5M2/3K4 w - - 3 86	-80	0.5	0	normal	engine_search
6k1/8/4R2p/2m2r1P/4N1p1/3n2M1/8/3K4 b - - 4 86	-80	0.5	0	normal	engine_search
6k1/8/4R2p/2m4r/4N1p1/3n2M1/8/3K4 w - - 0 87	-75	0.5	0	normal	engine_search
6k1/8/4R2p/2m4r/4N1p1/3n2M1/3K4/8 b - - 1 87	-79	0.5	0	normal	engine_search
6k1/8/4R2p/2m4r/1n2N1p1/6M1/3K4/8 w - - 2 88	-77	0.5	0	normal	engine_search
6k1/8/6Rp/2m4r/1n2N1p1/6M1/3K4/8 b - - 3 88	-77	0.5	0	normal	engine_search
8/5k2/6Rp/2m4r/1n2N1p1/6M1/3K4/8 w - - 4 89	-81	0.5	0	normal	engine_search
8/5k2/7p/2m4r/1n2N1R1/6M1/3K4/8 b - - 0 89	-81	0.5	0	normal	engine_search
8/5k2/7p/2mn3r/4N1R1/6M1/3K4/8 w - - 1 90	-81	0.5	0	normal	engine_search
8/5k2/7p/2mn3r/4N1R1/3K2M1/8/8 b - - 2 90	-81	0.5	0	normal	engine_search
8/5k2/7p/2mn1r2/4N1R1/3K2M1/8/8 w - - 3 91	-81	0.5	0	normal	engine_search
8/5k2/7p/2mn1r2/4N2R/3K2M1/8/8 b - - 4 91	-81	0.5	0	normal	engine_search
8/5k2/5n1p/2m2r2/4N2R/3K2M1/8/8 w - - 5 92	-81	0.5	0	normal	engine_search
8/5k2/5N1p/2m2r2/7R/3K2M1/8/8 b - - 0 92	-81	0.5	0	normal	engine_search
8/5k2/5r1p/2m5/7R/3K2M1/8/8 w - - 0 93	-82	0.5	0	normal	engine_search
8/5k2/5r1p/2m5/4K2R/6M1/8/8 b - - 1 93	-82	0.5	0	normal	engine_search
8/5k2/6rp/2m5/4K2R/6M1/8/8 w - - 2 94	-82	0.5	0	normal	engine_search
8/5k2/6rp/2m5/4KM1R/8/8/8 b - - 3 94	-82	0.5	0	normal	engine_search
8/5k2/3m2rp/8/4KM1R/8/8/8 w - - 4 95	-81	0.5	0	normal	engine_search
8/5k2/3m2rp/8/4KM2/7R/8/8 b - - 5 95	-82	0.5	0	normal	engine_search
8/4mk2/6rp/8/4KM2/7R/8/8 w - - 6 96	-81	0.5	0	normal	engine_search
8/4mk2/6rp/8/4KM2/1R6/8/8 b - - 7 96	-79	0.5	0	normal	engine_search
8/4mk2/4r2p/8/4KM2/1R6/8/8 w - - 8 97	-78	0.5	0	normal	engine_search
8/4mk2/4r2p/5K2/5M2/1R6/8/8 b - - 9 97	-77	0.5	0	normal	engine_search
8/4mk2/5r1p/5K2/5M2/1R6/8/8 w - - 10 98	-83	0.5	0	normal	engine_search
8/4mk2/5r1p/4K3/5M2/1R6/8/8 b - - 11 98	-81	0.5	0	normal	engine_search
5m2/5k2/5r1p/4K3/5M2/1R6/8/8 w - - 12 99	-84	0.5	0	normal	engine_search
5m2/5k2/5r1p/8/4KM2/1R6/8/8 b - - 13 99	-81	0.5	0	normal	engine_search
8/5km1/5r1p/8/4KM2/1R6/8/8 w - - 14 100	-80	0.5	0	normal	engine_search
8/5km1/5r1p/4K3/5M2/1R6/8/8 b - - 15 100	-80	0.5	0	normal	engine_search
5m2/5k2/5r1p/4K3/5M2/1R6/8/8 w - - 16 101	-81	0.5	0	normal	engine_search
5m2/5k2/5r1p/8/4KM2/1R6/8/8 b - - 17 101	-82	0.5	0	normal	engine_search
5m2/6k1/5r1p/8/4KM2/1R6/8/8 w - - 18 102	-81	0.5	0	normal	engine_search
5m2/6k1/5r1p/8/4KM2/6R1/8/8 b - - 19 102	-80	0.5	0	normal	engine_search
5m2/7k/5r1p/8/4KM2/6R1/8/8 w - - 20 103	-81	0.5	0	normal	engine_search
5m2/7k/5r1p/4K3/5M2/6R1/8/8 b - - 21 103	-82	0.5	0	normal	engine_search
8/6mk/5r1p/4K3/5M2/6R1/8/8 w - - 22 104	-82	0.5	0	normal	engine_search
8/6mk/5r1p/4K3/5M2/1R6/8/8 b - - 23 104	-81	0.5	0	normal	engine_search
5r2/6mk/7p/4K3/5M2/1R6/8/8 w - - 24 105	-80	0.5	0	normal	engine_search
5r2/6mk/1R5p/4K3/5M2/8/8/8 b - - 25 105	-80	0.5	0	normal	engine_search
8/5rmk/1R5p/4K3/5M2/8/8/8 w - - 26 106	-79	0.5	0	normal	engine_search
8/5rmk/2R4p/4K3/5M2/8/8/8 b - - 27 106	-80	0.5	0	normal	engine_search
5r2/6mk/2R4p/4K3/5M2/8/8/8 w - - 28 107	-79	0.5	0	normal	engine_search
5r2/6mk/1R5p/4K3/5M2/8/8/8 b - - 29 107	-79	0.5	0	normal	engine_search
2r5/6mk/1R5p/4K3/5M2/8/8/8 w - - 30 108	-79	0.5	0	normal	engine_search
2r5/6mk/1R5p/8/4KM2/8/8/8 b - - 31 108	-78	0.5	0	normal	engine_search
4r3/6mk/1R5p/8/4KM2/8/8/8 w - - 32 109	-78	0.5	0	normal	engine_search
4r3/6mk/1R5p/5K2/5M2/8/8/8 b - - 33 109	-78	0.5	0	normal	engine_search
8/4r1mk/1R5p/5K2/5M2/8/8/8 w - - 34 110	-78	0.5	0	normal	engine_search
